gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/16924	Vannino	Chiti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29072	Stefano	Collina	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/30914	Laura	Fasiolo	Membro	2014-07-02	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17663	Sergio	Zavoli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29195	Magda Angela	Zanoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29192	Stefano	Vaccari	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17769	Roberto	Ruta	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/26041	Valeria	Fedeli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25466	Donella	Mattesini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29194	Vito	Vattuone	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29176	Francesco	Scalia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29175	Giorgio	Santini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29105	Francesco	Giacobbe	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/31042	Mara	Valdinosi	Membro	2014-10-16	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29180	Annalisa	Silvestro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1376	Giuseppe	Lumia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29124	Patrizia	Manassero	Segretario	2013-04-09	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29054	Claudio	Broglia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29112	Josefa	Idem	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29096	Elena	Ferrara	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29131	Claudio	Martini	Vicepresidente Vicario	2013-04-09	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29111	Paolo	Guerrieri Paleotti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29078	Erica	D'Adda	Segretario	2013-04-09	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29037	Ignazio	Angioni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	Membro	2013-06-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29095	Nicoletta	Favero	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/991	Anna	Finocchiaro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29173	Angelica	Saggese	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29052	Daniele Gaetano	Borioli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25424	Luciano	Pizzetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29166	Laura	Puppato	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2313	Ugo	Sposetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29134	Giuseppina	Maturani	Vicepresidente	2013-04-09	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29211	Stefania	Giannini	Membro	2015-02-18	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1426	Luigi	Manconi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/32307	Lucia	Esposito	Membro	2017-09-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29087	Rosa Maria	Di Giorgi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25226	Maria Teresa	Bertuzzi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29187	Gianluca	Susta	Membro	2015-02-18	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22794	Renato Guerino	Turano	Membro	2013-04-29	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25235	Raffaele	Ranucci	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29076	Giuseppe Luigi Salvatore	Cucca	Membro	2013-03-19	17
