gruppo	nomeGruppo	senatore	nome	cognome	inizio	fine	carica	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29137	Corradino	Mineo	2013-03-19	2015-10-28	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22720	Filippo	Bubbico	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22337	Felice	Casson	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/4387	Paolo	Corsini	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29088	Nerina	Dirindin	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29099	Federico	Fornaro	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25495	Maria Grazia	Gatti	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29109	Miguel	Gotor	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25229	Manuela	Granaiola	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/28580	Maria Cecilia	Guerra	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25477	Doris	Lo Moro	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/4493	Maurizio	Migliavacca	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29167	Lucrezia	Ricchiuti	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29183	Lodovico	Sonego	2013-03-19	2017-02-27	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29077	Vincenzo	Cuomo	2013-03-19	2017-09-19	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29110	Pietro	Grasso	2013-03-19	2017-10-26	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22790	Claudio	Micheloni	2013-03-19	2017-12-20	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29035	Donatella	Albano	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22706	Silvana	Amati	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29037	Ignazio	Angioni	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29040	Bruno	Astorre	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25226	Maria Teresa	Bertuzzi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29047	Amedeo	Bianco	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29052	Daniele Gaetano	Borioli	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29054	Claudio	Broglia	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29057	Massimo	Caleo	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29060	Laura	Cantini	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21593	Rosaria	Capacchione	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29062	Valeria	Cardinali	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/16924	Vannino	Chiti	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/18499	Monica	Cirinna'	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29071	Roberto	Cociancich	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29072	Stefano	Collina	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29076	Giuseppe Luigi Salvatore	Cucca	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29087	Rosa Maria	Di Giorgi	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25511	Stefano	Esposito	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29092	Camilla	Fabbri	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29094	Emma	Fattorini	2013-03-19	2018-03-22	Membro	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29095	Nicoletta	Favero	2013-03-19	2018-03-22	Membro	17
