idSpeaker	affilialtion_to	role	from	to
29397	GOV.CONTE.1	sottosegretario di Stato per la giustizia	2018-06-13	2019-09-04
29397	GOV.CONTE.2	sottosegretario di Stato per la giustizia	2019-09-13	2021-02-12
30095	GOV.LETTA.1	ministro dell'economia e delle finanze	2013-04-28	2014-02-21
30110	GOV.LETTA.1	vice ministro dello sviluppo economico	2013-05-03	2014-02-21
30110	GOV.RENZI.1	vice ministro dello sviluppo economico	2014-02-28	2016-03-18
30110	GOV.RENZI.1	ministro dello sviluppo economico	2016-05-10	2016-12-11
30110	GOV.GENTILONI.1	ministro dello sviluppo economico	2016-12-12	2018-05-31
30745	GOV.RENZI.1	ministro dello sviluppo economico	2014-02-22	2016-04-05
30750	GOV.RENZI.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2014-02-28	2014-09-19
33754	GOV.CONTE.1	ministro per i beni e le attività culturali	2018-06-01	2019-09-04
17690	GOV.LETTA.1	ministro delle infrastrutture e dei trasporti	2013-04-28	2014-02-21
17690	GOV.RENZI.1	ministro delle infrastrutture e dei trasporti	2014-02-22	2015-03-20
22932	GOV.LETTA.1	sottosegretario di Stato per la salute	2013-05-03	2014-02-21
23041	GOV.CONTE.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2018-06-13	2019-09-04
25488	GOV.LETTA.1	sottosegretario di Stato per le infrastrutture e i trasporti	2013-05-03	2014-02-21
29201	GOV.LETTA.1	sottosegretario di Stato per gli affari esteri	2013-05-03	2014-02-21
29201	GOV.RENZI.1	sottosegretario di Stato per gli affari esteri	2014-02-28	2016-03-07
29201	GOV.RENZI.1	vice ministro degli affari esteri e della cooperazione internazionale	2016-03-07	2016-12-11
29201	GOV.GENTILONI.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2016-12-29	2017-01-16
29201	GOV.GENTILONI.1	vice ministro degli affari esteri e della cooperazione internazionale	2017-01-16	2018-05-31
29364	GOV.CONTE.2	ministro per la pubblica amministrazione	2019-09-05	2021-02-12
32907	GOV.CONTE.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2018-06-13	2018-08-06
32907	GOV.CONTE.1	vice ministro degli affari esteri e della cooperazione internazionale	2018-08-06	2019-09-04
32907	GOV.CONTE.2	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2019-09-13	2020-08-25
32907	GOV.CONTE.2	vice ministro degli affari esteri e della cooperazione internazionale	2020-08-25	2021-02-12
34694	GOV.CONTE.2	ministro per l'innovazione tecnologica e la digitalizzazione	2019-09-05	2021-02-12
5111	GOV.LETTA.1	sottosegretario di Stato per il lavoro e le politiche sociali	2013-05-03	2013-12-10
17783	GOV.CONTE.2	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2019-09-13	2020-08-25
17783	GOV.CONTE.2	vice ministro degli affari esteri e della cooperazione internazionale	2020-08-25	2021-02-12
17846	GOV.RENZI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2016-01-29	2016-12-11
17846	GOV.GENTILONI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2016-12-29	2018-05-31
20506	GOV.LETTA.1	ministro per la pubblica amministrazione e la semplificazione	2013-04-28	2014-02-21
29352	GOV.CONTE.1	sottosegretario di Stato per lo sviluppo economico	2018-06-13	2019-09-04
29385	GOV.CONTE.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2018-06-13	2019-09-04
29385	GOV.CONTE.2	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2019-09-13	2021-02-12
30132	GOV.LETTA.1	sottosegretario di Stato per le infrastrutture e i trasporti	2013-05-06	2014-02-21
32929	GOV.CONTE.1	ministro per la famiglia e le disabilità	2018-06-01	2019-07-10
32929	GOV.CONTE.1	ministro per gli affari europei	2019-07-11	2019-09-04
2193	GOV.CONTE.1	ministro per gli affari europei	2018-06-01	2019-03-08
25555	GOV.CONTE.2	ministro per gli affari regionali e le autonomie	2019-09-05	2021-02-12
29435	GOV.CONTE.2	ministro della difesa	2019-09-05	2021-02-12
30094	GOV.LETTA.1	ministro per la coesione territoriale	2013-04-28	2014-02-21
30096	GOV.LETTA.1	ministro dello sviluppo economico	2013-04-28	2014-02-21
