idSpeaker	affilialtion_to	role	from	to
22963	GOV.CONTE.1	vice ministro dell'economia e delle finanze	2019-03-22	2019-09-04
17561	GOV.RENZI.1	sottosegretario di Stato per le infrastrutture e i trasporti	2014-02-28	2014-03-10
17561	GOV.RENZI.1	sottosegretario di Stato per lo sviluppo economico	2016-01-29	2016-12-11
17561	GOV.GENTILONI.1	sottosegretario di Stato per lo sviluppo economico	2016-12-29	2018-05-31
29211	GOV.RENZI.1	ministro dell'istruzione, dell'università e della ricerca	2014-02-22	2016-12-11
28580	GOV.LETTA.1	vice ministro del lavoro e delle politiche sociali	2013-05-03	2014-02-21
28580	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2021-02-12
29112	GOV.LETTA.1	ministro per le pari opportunità, lo sport e le politiche giovanili	2013-04-28	2013-06-27
29117	GOV.CONTE.1	ministro per il Sud	2018-06-01	2019-03-22
29467	GOV.CONTE.2	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2019-09-13	2021-02-12
23135	GOV.CONTE.2	sottosegretario di Stato per le infrastrutture e i trasporti	2019-09-13	2021-02-12
29135	GOV.LETTA.1	ministro della difesa	2013-04-28	2014-02-21
23007	GOV.CONTE.1	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2018-06-13	2019-09-04
23007	GOV.CONTE.2	sottosegretario di Stato per gli affari esteri e la cooperazione internazionale	2019-09-13	2021-02-12
23011	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2020-09-03
23011	GOV.CONTE.2	vice ministro dell'economia e delle finanze	2020-09-03	2021-02-12
31572	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-01-29	2016-12-11
1686	GOV.RENZI.1	vice ministro delle infrastrutture e dei trasporti	2014-02-28	2016-12-11
1686	GOV.GENTILONI.1	vice ministro delle infrastrutture e dei trasporti	2016-12-29	2018-05-31
29148	GOV.RENZI.1	vice ministro delle politiche agricole alimentari e forestali	2014-02-28	2016-12-11
29148	GOV.GENTILONI.1	vice ministro delle politiche agricole alimentari e forestali	2016-12-29	2018-05-31
32681	GOV.CONTE.2	ministro dello sviluppo economico	2019-09-13	2021-02-12
17750	GOV.LETTA.1	sottosegretario di Stato per la difesa	2013-05-03	2014-02-21
17750	GOV.GENTILONI.1	ministro della difesa	2016-12-12	2018-05-31
17750	GOV.RENZI.1	ministro della difesa	2014-02-22	2016-12-11
25424	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-28	2016-12-11
25424	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-12-29	2018-05-31
29165	GOV.CONTE.2	sottosegretario di Stato per il lavoro e le politiche sociali	2019-09-13	2021-02-12
30742	GOV.RENZI.1	presidente del Consiglio dei ministri	2014-02-22	2016-12-11
25407	GOV.CONTE.1	vice presidente del Consiglio dei ministri e ministro dell'interno	2018-06-01	2019-09-04
29174	GOV.CONTE.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2018-06-13	2019-09-04
14224	GOV.CONTE.2	sottosegretario di Stato per la salute	2019-09-13	2020-08-14
14224	GOV.CONTE.2	sottosegretario di Stato per la salute	2020-08-14	2021-02-12
32715	GOV.CONTE.1	sottosegretario di Stato per le infrastrutture e i trasporti	2018-06-13	2019-05-10
29185	GOV.CONTE.1	ministro per gli affari regionali e le autonomie	2018-06-01	2019-09-04
29599	GOV.CONTE.1	ministro delle infrastrutture e dei trasporti	2018-06-01	2019-09-04
25270	GOV.LETTA.1	sottosegretario di Stato per lo sviluppo economico	2013-05-03	2014-02-21
25270	GOV.RENZI.1	sottosegretario di Stato per lo sviluppo economico	2014-02-28	2016-01-29
25270	GOV.RENZI.1	sottosegretario di Stato per le infrastrutture e i trasporti	2016-01-29	2016-12-11
25270	GOV.GENTILONI.1	sottosegretario di Stato per le infrastrutture e i trasporti	2016-12-29	2017-05-25
