gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29035	Donatella	Albano	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29082	Isabella	De Monte	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29151	Venera	Padua	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/16924	Vannino	Chiti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29072	Stefano	Collina	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/4493	Maurizio	Migliavacca	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17663	Sergio	Zavoli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29195	Magda Angela	Zanoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29192	Stefano	Vaccari	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17769	Roberto	Ruta	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/26041	Valeria	Fedeli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25466	Donella	Mattesini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29194	Vito	Vattuone	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29176	Francesco	Scalia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29175	Giorgio	Santini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29105	Francesco	Giacobbe	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29180	Annalisa	Silvestro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1376	Giuseppe	Lumia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25229	Manuela	Granaiola	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29054	Claudio	Broglia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29112	Josefa	Idem	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29096	Elena	Ferrara	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29111	Paolo	Guerrieri Paleotti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29183	Lodovico	Sonego	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29200	Daniela	Valentini	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29037	Ignazio	Angioni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29095	Nicoletta	Favero	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/991	Anna	Finocchiaro	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29173	Angelica	Saggese	Membro	2013-03-19	17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29052	Daniele Gaetano	Borioli	Membro	2013-03-19	17
